,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,001 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,001 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,001 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,,,
AZ,Maricopa,Surprise ,10/7/10,,"$14,602","$9,022","$3,704","$3,335","$2,245",,"$2,114",$467,$706,$372,$661,,$998,AZ,Maricopa,Surprise ,,"$6,891","$6,137","$2,601",$513,$241,,"$1,563",$345,$522,$275,$489,,$342,AZ,Maricopa,Surprise ,,"$10,873","$10,283","$7,674",$356,$234,,,,$693,$501,$556,,$859,AZ,Maricopa,Surprise ,,"$8,282","$7,693","$4,279",$356,$234,,,,"$1,241",$253,$996,,$924,AZ,Maricopa,Surprise ,,"$3,563","$2,973","$1,316",$356,$234,,,,$640,$78,$513,,$426,,,,,,,,,,,,,,,
AZ,Maricopa,Tempe,10/7/10,,"$5,893",,,"$3,045","$2,848",,,,,,,,,AZ,Maricopa,Tempe,,"$1,185",,,$711,$475,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,,,,,,,,,,,,,,,
AZ,Mojave,Bullhead City,10/7/10,,$715,,,$715,,,,,,,,,,AZ,Mojave,Bullhead City,,$591, ,,$591,,,,,,,,,,AZ,Mojave,Bullhead City,,$114,,,$114,,,,,,,,,,AZ,Mojave,Bullhead City,,$114,,,$114,,,,,,,,,,AZ,Mojave,Bullhead City,,$114,,,$114,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Navajo,Show Low,10/7/10,,"$5,376","$1,849","$1,112",$815,"$2,712",,$557,$180,,,,,,AZ,Navajo,Show Low,,"$3,785","$1,458",$874,$180,"$2,147",,$441,$143,,,,,,AZ,Navajo,Show Low,,"$1,213",$464,$609,$140,$464,,,,,,,,,AZ,Navajo,Show Low,,"$1,014",$464,$410,$140,$464,,,,,,,,,AZ,Navajo,Show Low,,"$1,129",$464,$525,$140,$464,,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Pima County,9/12/09,,"$11,644","$6,531","$4,934",,"$5,113",,"$1,597",,,,,,,AZ,Pima,Pima County,,"$6,053","$5,201","$3,701",,$852,,"$1,500",,,,,,,AZ,Pima,Pima County,,"$2,826","$2,008","$2,008",,$818,,,,,,,,,AZ,Pima,Pima County,,"$2,451","$1,633","$1,633",,$818,,,,,,,,,AZ,Pima,Pima County,,"$2,894","$2,076","$2,076",,$818,,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Marana,10/7/10,,"$13,197","$10,866","$7,395","$2,331",,,"$3,471",,,,,,,AZ,Pima,Marana,,"$8,694","$8,150","$5,546",$544,,,"$2,603",,,,,,,AZ,Pima,Marana,,$347,,,$347,,,,,,,,,,AZ,Pima,Marana,,$347,,,$347,,,,,,,,,,AZ,Pima,Marana,,$347,,,$347,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Oro Valley,10/7/10,,"$13,628","$6,079","$1,933","$7,549",,,"$2,605",$670,,$495,$376,,,AZ,Pima,Oro Valley,,"$7,419","$3,799","$1,331","$3,620",,,"$1,550",$399,,$295,$224,,,AZ,Pima,Oro Valley,,"$5,405","$3,689","$3,436","$1,716",,,,,,$119,$134,,,AZ,Pima,Oro Valley,,"$3,207","$1,491","$1,260","$1,716",,,,,,$40,$191,,,AZ,Pima,Oro Valley,,"$2,567",$851,$689,"$1,716",,,,,,$22,$140,,,,,,,,,,,,,,,,,
AZ,Pima,Tucson,10/7/10,,"$9,260","$7,683","$4,300","$1,577",,,"$1,720",,$488,$674,$501,,,AZ,Pima,Tucson,,"$4,608","$4,240","$2,150",$368,,,$860,,$360,$499,$371,,,AZ,Pima,Tucson,,"$5,761","$5,509","$4,282",$252,,,,,$269,$699,$259,,,AZ,Pima,Tucson,,"$6,566","$6,314","$5,087",$252,,,,,$269,$699,$259,,,AZ,Pima,Tucson,,"$3,675","$3,423","$2,196",$252,,,,,$269,$699,$259,,,,,,,,,,,,,,,,,
AZ,Pinal,Apache Junction,10/7/10,,"$12,429","$9,508","$6,323",$921,"$2,000",,"$1,801",$721,,$294,$369,,,AZ,Pinal,Apache Junction,,"$7,349","$7,190","$4,440",$107,$52,,"$1,555",$622,,$254,$319,,,AZ,Pinal,Apache Junction,,"$15,537","$15,070","$13,220",$147,$320,,,,,"$1,740",$110,,,AZ,Pinal,Apache Junction,,"$5,477","$5,010","$4,330",$147,$320,,,,,$520,$160,,,AZ,Pinal,Apache Junction,,"$3,097","$2,630","$2,260",$147,$320,,,,,$270,$100,,,,,,,,,,,,,,,,,
AZ,Pinal,Casa Grande,10/7/10,,"$12,469","$8,353","$3,356",,"$4,116",,,,$663,$339,$834,,"$3,161",AZ,Pinal,Casa Grande,,"$6,206","$5,764","$2,311",,$442,,,,$426,$228,$561,,"$2,238",AZ,Pinal,Casa Grande,,"$9,893","$9,465","$6,877",,$428,,,,$488,$431,$654,,"$1,015",AZ,Pinal,Casa Grande,,"$5,440","$5,012","$2,239",,$428,,,,$696,$128,$934,,"$1,015",AZ,Pinal,Casa Grande,,"$3,939","$3,511","$1,373",,$428,,,,$451,$67,$605,,"$1,015",,,,,,,,,,,,,,,
AZ,Pinal,Eloy,10/7/10,,"$4,868","$1,941",,"$1,617","$1,310",,$539,$151,,$359,$892,,,AZ,Pinal,Eloy,,"$1,773","$1,405",,$237,$131,,$391,$109,,$260,$645,,,AZ,Pinal,Eloy,,"$1,296",$972,,$183,$141,,,,,$375,$597,,,AZ,Pinal,Eloy,,"$1,248",$924,,$183,$141,,,,,$124,$800,,,AZ,Pinal,Eloy,,$953,$629,,$183,$141,,,,,$77,$552,,,,,,,,,,,,,,,,,
AZ,Pinal,Florence,10/7/10,,"$12,305","$4,870",$583,"$3,330","$4,105",,$857,$407,"$1,119",$934,$846,,$124,AZ,Pinal,Florence,,"$4,745","$3,527",$410,$648,$570,,$617,$293,$804,$672,$607,,$124,AZ,Pinal,Florence,,"$5,147","$4,354","$2,618",$356,$438,,$167,$60,$644,$175,$159,,$531,AZ,Pinal,Florence,,"$5,147","$4,354","$2,618",$356,$438,,$167,$60,$644,$175,$159,,$531,AZ,Pinal,Florence,,"$2,438","$1,645",$425,$356,$438,,$92,$34,$371,$101,$91,,$531,,,,,,,,,,,,,,,
AZ,Pinal,Queen Creek,10/7/10,,"$15,981","$10,974",$727,,"$5,007",,"$5,719","$1,370",$693,$704,"$1,761",,,AZ,Pinal,Queen Creek,,"$7,736","$7,191",$478,,$545,,"$3,762",$901,$456,$436,"$1,158",,,AZ,Pinal,Queen Creek,,"$6,249","$5,721","$3,529",,$528,,,,$869,$180,"$1,143",,,AZ,Pinal,Queen Creek,,"$3,659","$3,131","$1,084",,$528,,,,$267,$55,"$1,725",,,AZ,Pinal,Queen Creek,,"$2,716","$2,188",$770,,$528,,,,$190,$39,"$1,189",,,,,,,,,,,,,,,,,
AZ,Yavapai,Yavapai County,12/19/09,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Yavapai,Chino Valley,10/7/10,,"$10,353","$4,538","$3,028",$854,"$4,961",,$546,$148,$358,$303,$155,,,AZ,Yavapai,Chino Valley,,"$4,091","$3,130","$1,620",$134,$827,,$546,$148,$358,$303,$155,,,AZ,Yavapai,Chino Valley,,"$2,811","$1,350",$940,$84,"$1,377",,,,$180,$160,$70,,,AZ,Yavapai,Chino Valley,,"$2,811","$1,350",$940,$84,"$1,377",,,,$180,$160,$70,,,AZ,Yavapai,Chino Valley,,"$4,541","$3,080","$2,670",$84,"$1,377",,,,$180,$160,$70,,,,,,,,,,,,,,,,,
AZ,Yavapai,Prescott,10/7/10,,"$17,303","$3,227",$469,"$10,803","$3,273",,"$1,116",$253,$525,$589,$275,,,AZ,Yavapai,Prescott,,"$6,294","$3,227",$469,"$2,521",$546,,"$1,116",$253,$525,$589,$275,,,AZ,Yavapai,Prescott,,"$2,721",$469,$469,"$1,728",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,721",$469,$469,"$1,728",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,721",$469,$469,"$1,728",$524,,,,,,,,,,,,,,,,,,,,,,,
AZ,Yuma,Yuma,10/7/10,,"$17,700","$5,920","$2,196","$5,203","$6,577",,"$1,770",,$245,$561,$389,,$759,AZ,Yuma,Yuma,,"$6,351","$4,446","$1,512",$809,"$1,096",,"$1,395",,$193,$442,$306,,$598,AZ,Yuma,Yuma,,"$6,687","$5,027","$3,367",$607,"$1,052",,,,$182,"$1,115",$308,,$55,AZ,Yuma,Yuma,,"$4,169","$2,509","$1,337",$607,"$1,052",,,,$267,$372,$452,,$81,AZ,Yuma,Yuma,,"$3,078","$1,418",$714,$607,"$1,052",,,,$169,$199,$285,,$51,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,10/12/10,,"$62,108","$62,108","$3,879",,,,"$23,698",,$314,,"$2,717",,"$31,500",CA,Alameda,Fremont,,"$40,717","$40,717","$3,009",,,,"$21,329",,$283,,"$2,446",,"$13,650",CA,Alameda,Fremont,,"$9,769","$9,769","$8,700",,,,,,$146,,$923,,,CA,Alameda,Fremont,,"$12,477","$12,477","$10,766",,,,,,$234,,"$1,477",,,CA,Alameda,Fremont,,"$4,408","$4,408","$3,552",,,,,,$117,,$739,,,,,,,,,,,,,,,,,
CA,Alameda,Hayward,10/12/10,,"$32,124","$19,143","$1,200","$5,726","$7,255",,"$11,953",,,,,"$5,240",$750,CA,Alameda,Hayward,,"$21,476","$13,683",$960,"$1,336","$6,457",,"$9,653",,,,,"$2,620",$450,CA,Alameda,Hayward,,"$6,397","$6,397","$3,960",$916,"$1,161",,,,,,,$360,,CA,Alameda,Hayward,,"$5,437","$5,437","$3,000",$916,"$1,161",,,,,,,$360,,CA,Alameda,Hayward,,"$3,877","$3,877","$1,440",$916,"$1,161",,,,,,,$360,,,,,,,,,,,,,,,,
CA,Alameda,Livermore,10/12/10,,"$36,523","$28,889","$8,965","$3,435","$4,199",$960,"$13,704",,,,,"$5,260",,CA,Alameda,Livermore,,"$23,587","$19,565","$5,966",$802,"$3,220",$460,"$10,509",,,,,"$2,630",,CA,Alameda,Livermore,,"$29,817","$29,817","$20,197",$550,"$5,573",$460,"$1,737",,,,,$420,$880,CA,Alameda,Livermore,,"$25,753","$25,753","$15,699",$550,"$5,573",$460,"$2,485",,,,,$420,$566,CA,Alameda,Livermore,,"$17,819","$17,819","$9,947",$550,"$5,573",$460,$693,,,,,$420,$176,,,,,,,,,,,,,,,
CA,Alameda,San Leandro,10/12/10,,"$27,390","$23,730","$1,163",,"$3,660",,"$14,224",,,,,"$7,040","$1,303",CA,Alameda,San Leandro,,"$21,418","$18,358","$1,163",,"$3,060",,"$12,433",,,,,"$3,520","$1,242",CA,Alameda,San Leandro,,"$4,786","$4,786","$3,610",,$586,,,,,,,$470,$120,CA,Alameda,San Leandro,,"$4,406","$4,406","$3,230",,$586,,,,,,,$470,$120,CA,Alameda,San Leandro,,"$2,216","$2,216","$1,040",,$586,,,,,,,$470,$120,,,,,,,,,,,,,,,
CA,Contra Costa,Orinda,10/12/10,,"$20,087","$20,087","$5,868",,,"$4,840","$9,379",,,,,,,CA,Contra Costa,Orinda,,"$12,685","$12,685","$3,661",,,"$2,420","$6,604",,,,,,,CA,Contra Costa,Orinda,,"$4,890","$4,890","$2,470",,,"$2,420",,,,,,,,CA,Contra Costa,Orinda,,"$4,890","$4,890","$2,470",,,"$2,420",,,,,,,,CA,Contra Costa,Orinda,,"$4,890","$4,890","$2,470",,,"$2,420",,,,,,,,,,,,,,,,,,,,,,
CA,El Dorado,El Dorado Co,10/12/10,,"$44,759","$44,759","$26,014",,,,"$9,806",,"$2,320",,,"$6,619",,CA,El Dorado,El Dorado Co,,"$29,506","$29,506","$16,934",,,,"$8,103",,"$1,160",,,"$3,309",,CA,El Dorado,El Dorado Co,,"$11,771","$11,771","$10,191",,,,,,"$1,160",,,$420,,CA,El Dorado,El Dorado Co,,"$4,188","$4,188","$2,608",,,,,,"$1,160",,,$420,,CA,El Dorado,El Dorado Co,,"$3,240","$3,240","$1,660",,,,,,"$1,160",,,$420,,,,,,,,,,,,,,,,
CA,Fresno,Clovis,10/13/10,,"$25,585","$13,639","$8,240","$4,171","$7,775",,"$3,501",$572,$625,$100,,,$601,CA,Fresno,Clovis,,"$13,921","$11,652","$6,867",$973,"$1,296",,"$3,501",,$661,$100,,,$523,CA,Fresno,Clovis,,"$17,360","$15,449","$12,611",$667,"$1,244",,"$1,590",,$625,$100,,,$523,CA,Fresno,Clovis,,"$17,391","$15,480","$12,611",$667,"$1,244",,"$1,590",,$625,$100,,,$554,CA,Fresno,Clovis,,"$17,391","$15,480","$12,611",$667,"$1,244",,"$1,590",,$625,$100,,,$554,,,,,,,,,,,,,,,
CA,Kern,Bakersfield,10/13/10,,"$24,726","$21,026","$12,870",,"$3,700",,"$1,680",,,,,"$5,940",$536,CA,Kern,Bakersfield,,"$13,397","$11,042","$6,213",,"$2,355",,"$1,680",,,,,"$2,970",$179,CA,Kern,Bakersfield,,"$8,923","$8,331","$7,643",,$592,,,,,,,$360,$328,CA,Kern,Bakersfield,,"$2,944","$2,352","$1,795",,$592,,,,,,,$360,$197,CA,Kern,Bakersfield,,"$2,576","$1,984","$1,296",,$592,,,,,,,$360,$328,,,,,,,,,,,,,,,
