,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,001 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,001 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,001 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
AZ,Maricopa,Tempe,7/28/12,,"$5,893",,,"$3,045","$2,848",,,,,,,,,AZ,Maricopa,Tempe,,"$1,185",,,$711,$475,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,,,,,,,,,,,,,
AZ,Mojave,Bullhead City,7/28/12,,$726,,,$726,,,,,,,,,,AZ,Mojave,Bullhead City,,$600, ,,$600,,,,,,,,,,AZ,Mojave,Bullhead City,,$116,,,$116,,,,,,,,,,AZ,Mojave,Bullhead City,,$116,,,$116,,,,,,,,,,AZ,Mojave,Bullhead City,,$116,,,$116,,,,,,,,,,,,,,,,,,,,,,
AZ,Navajo,Show Low,7/28/12,,"$1,849","$1,849","$1,112",,,,$557,$180,,,,,,AZ,Navajo,Show Low,,"$1,458","$1,458",$874,,,,$441,$143,,,,,,AZ,Navajo,Show Low,,$609,,$609,,,,,,,,,,,AZ,Navajo,Show Low,,$410,,$410,,,,,,,,,,,AZ,Navajo,Show Low,,$525,,$525,,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Pima County,7/28/12,,"$5,199","$5,199","$5,199",,,,,,,,,,,AZ,Pima,Pima County,,"$3,900","$3,900","$3,900",,,,,,,,,,,AZ,Pima,Pima County,,"$2,116","$2,116","$2,116",,,,,,,,,,,AZ,Pima,Pima County,,"$1,721","$1,721","$1,721",,,,,,,,,,,AZ,Pima,Pima County,,"$2,187","$2,187","$2,187",,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Marana,7/28/12,,"$17,541","$10,666","$7,372","$2,331","$4,544",,"$3,294",,,,,,,AZ,Pima,Marana,,"$9,301","$8,000","$5,529",$544,$757,,"$2,471",,,,,,,AZ,Pima,Marana,,"$1,100",,,$373,$727,,,,,,,,,AZ,Pima,Marana,,"$1,100",,,$373,$727,,,,,,,,,AZ,Pima,Marana,,"$1,100",,,$373,$727,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Oro Valley,7/28/12,,"$10,333","$2,784","$1,933","$7,549",,,$555,,,$296,,,,AZ,Pima,Oro Valley,,"$5,463","$1,843","$1,331","$3,620",,,$336,,,$176,,,,AZ,Pima,Oro Valley,,"$5,243","$3,527","$3,436","$1,716",,,,,,$91,,,,AZ,Pima,Oro Valley,,"$3,033","$1,317","$1,290","$1,716",,,,,,$27,,,,AZ,Pima,Oro Valley,,"$2,437",$721,$705,"$1,716",,,,,,$16,,,,,,,,,,,,,,,,
AZ,Pima,Tucson,7/28/12,,"$9,194","$7,683","$4,300","$1,511",,,"$1,720",,$488,$674,$501,,,AZ,Pima,Tucson,,"$4,593","$4,240","$2,150",$353,,,$860,,$360,$499,$371,,,AZ,Pima,Tucson,,"$5,751","$5,509","$4,282",$242,,,,,$269,$699,$259,,,AZ,Pima,Tucson,,"$6,556","$6,314","$5,087",$242,,,,,$269,$699,$259,,,AZ,Pima,Tucson,,"$3,665","$3,423","$2,196",$242,,,,,$269,$699,$259,,,,,,,,,,,,,,,
AZ,Pinal,Apache Junction,7/28/12,,"$9,139","$9,139","$6,323",,,,"$1,801",$721,,$294,,,,AZ,Pinal,Apache Junction,,"$6,871","$6,871","$4,440",,,,"$1,555",$622,,$254,,,,AZ,Pinal,Apache Junction,,"$14,960","$14,960","$13,220",,,,,,,"$1,740",,,,AZ,Pinal,Apache Junction,,"$4,850","$4,850","$4,330",,,,,,,$520,,,,AZ,Pinal,Apache Junction,,"$2,530","$2,530","$2,260",,,,,,,$270,,,,,,,,,,,,,,,,
AZ,Pinal,Casa Grande,7/28/12,,"$11,067","$6,777","$3,465",,"$4,290",,,,$646,$359,$892,,"$1,415",AZ,Pinal,Casa Grande,,"$4,785","$4,313","$2,384",,$472,,,,$435,$234,$315,,$945,AZ,Pinal,Casa Grande,,"$8,518","$8,061","$6,912",,$457,,,,$442,$375,$332,,,AZ,Pinal,Casa Grande,,"$3,999","$3,542","$2,261",,$457,,,,$667,$112,$502,,,AZ,Pinal,Casa Grande,,"$2,718","$2,261","$1,385",,$457,,,,$460,$70,$346,,,,,,,,,,,,,,,
AZ,Pinal,Eloy,7/28/12,,"$4,443","$1,516",,"$1,617","$1,310",,$539,$151,,$345,$481,,,AZ,Pinal,Eloy,,"$1,773","$1,405",,$237,$131,,$391,$109,,$260,$645,,,AZ,Pinal,Eloy,,"$1,296",$972,,$183,$141,,,,,$375,$597,,,AZ,Pinal,Eloy,,"$1,248",$924,,$183,$141,,,,,$124,$800,,,AZ,Pinal,Eloy,,$953,$629,,$183,$141,,,,,$77,$552,,,,,,,,,,,,,,,
