State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
CA,Alameda,Livermore,4/2/19,,"$103,644","$92,512","$13,879","$4,467","$6,665","$1,800","$16,836",,,,"$1,677","$7,580","$50,740",CA,Alameda,Livermore,,"$58,941","$53,692","$9,424",$149,"$5,100",$900,"$12,910",,,,"$1,298","$3,790","$25,370",CA,Alameda,Livermore,,"$33,196","$33,196","$25,968",$715,"$1,480",$900,"$2,134",,,,$5,$610,"$1,384",CA,Alameda,Livermore,,"$31,608","$31,608","$23,948",$715,"$1,480",$900,"$3,052",,,,$7,$610,$896,CA,Alameda,Livermore,,"$19,564","$19,564","$14,571",$715,"$1,066",$900,"$1,419",,,,$3,$610,$280,,,,,,,,,,,,,
CA,Alameda,San Leandro,4/2/19,,"$60,227","$27,787","$1,438","$29,830","$2,610",,"$18,769",,,,,"$7,580",,CA,Alameda,San Leandro,,"$22,714","$21,633","$1,438",$994,$87,,"$16,405",,,,,"$3,790",,CA,Alameda,San Leandro,,"$10,271","$10,271","$4,470","$4,773",$418,,,,,,,$610,,CA,Alameda,San Leandro,,"$9,791","$9,791","$3,990","$4,773",$418,,,,,,,$610,,CA,Alameda,San Leandro,,"$7,061","$7,061","$1,260","$4,773",$418,,,,,,,$610,,,,,,,,,,,,,,
CA,Contra Costa,Orinda,4/2/19,,"$26,882","$26,882","$7,885",,,"$2,820","$16,177",,,,,,,CA,Contra Costa,Orinda,,"$18,217","$18,217","$5,519",,,"$1,410","$11,288",,,,,,,CA,Contra Costa,Orinda,,"$9,850","$9,850","$8,440",,,"$1,410",,,,,,,,CA,Contra Costa,Orinda,,"$9,850","$9,850","$8,440",,,"$1,410",,,,,,,,CA,Contra Costa,Orinda,,"$9,850","$9,850","$8,440",,,"$1,410",,,,,,,,,,,,,,,,,,,,
CA,El Dorado,El Dorado Co,4/2/19,,"$19,361","$19,361","$12,641",,,,,,,,,"$6,720",,CA,El Dorado,El Dorado Co,,"$11,197","$11,197","$7,837",,,,,,,,,"$3,360",,CA,El Dorado,El Dorado Co,,"$3,961","$3,961","$3,446",,,,,,,,,$515,,CA,El Dorado,El Dorado Co,,"$2,935","$2,935","$2,420",,,,,,,,,$515,,CA,El Dorado,El Dorado Co,,"$2,203","$2,203","$1,688",,,,,,,,,$515,,,,,,,,,,,,,,
CA,Fresno,Clovis,4/2/19,,"$23,911","$10,084","$5,615","$4,600","$9,227",,"$2,700",$604,$672,$100,,,$393,CA,Fresno,Clovis,,"$18,234","$7,557","$3,368","$2,280","$8,397",,"$2,700",$494,$672,$100,,,$223,CA,Fresno,Clovis,,"$16,843","$9,973","$8,861","$1,540","$5,330",,$340,,$672,$100,,,,CA,Fresno,Clovis,,"$12,223","$5,513","$4,041","$1,380","$5,330",,$700,,$672,$100,,,,CA,Fresno,Clovis,,"$5,277","$2,108","$1,086",$539,"$2,630",,$250,,$672,$100,,,,,,,,,,,,,,,,
CA,Kern,Bakersfield,4/2/19,,"$25,481","$21,081","$12,870",,"$4,400",,"$2,095",,,,,"$5,580",$536,CA,Kern,Bakersfield,,"$14,076","$11,277","$6,213",,"$2,799",,"$2,095",,,,,"$2,790",$179,CA,Kern,Bakersfield,,"$9,145","$8,441","$7,643",,$704,,,,,,,$470,$328,CA,Kern,Bakersfield,,"$3,166","$2,462","$1,795",,$704,,,,,,,$470,$197,CA,Kern,Bakersfield,,"$2,798","$2,094","$1,296",,$704,,,,,,,$470,$328,,,,,,,,,,,,,
CA,Los Angeles,Lancaster,4/2/19,,"$14,327","$14,327","$3,166",,,"$4,780","$3,534",,"$1,751",,$119,$800,$177,CA,Los Angeles,Lancaster,,"$10,158","$10,158","$2,911",,,"$2,391","$3,284",,$876,,$119,$400,$177,CA,Los Angeles,Lancaster,,"$4,510","$4,510","$2,807",,,$780,,,$876,,$47,,,CA,Los Angeles,Lancaster,,"$4,510","$4,510","$2,807",,,$780,,,$876,,$47,,,CA,Los Angeles,Lancaster,,"$2,525","$2,525",$822,,,$780,,,$876,,$47,,,,,,,,,,,,,,,
CA,Los Angeles,Long Beach,4/2/19,,"$15,217","$15,217","$1,125",,,,"$4,613",,$496,$703,,"$8,280",,CA,Los Angeles,Long Beach,,"$9,743","$9,743","$1,125",,,,"$3,563",,$378,$537,,"$4,140",,CA,Los Angeles,Long Beach,,"$4,319","$4,319","$3,000",,,,,,$267,$442,,$610,,CA,Los Angeles,Long Beach,,"$3,473","$3,473","$2,000",,,,,,$325,$538,,$610,,CA,Los Angeles,Long Beach,,"$2,060","$2,060","$1,100",,,,,,$132,$218,,$610,,,,,,,,,,,,,,
CA,Monterey,Salinas,4/2/19,,"$17,214","$12,114","$3,578",,"$5,100","$1,707","$3,624","$1,205",$308,"$1,692",,,,CA,Monterey,Salinas,,"$14,297","$9,728","$2,774",,"$4,569","$1,138","$2,619","$1,205",$300,"$1,692",,,,CA,Monterey,Salinas,,"$17,442","$16,626","$14,307",,$816,"$1,107",,,$520,$692,,,,CA,Monterey,Salinas,,"$6,383","$5,567","$3,691",,$816,$664,,,$520,$692,,,,CA,Monterey,Salinas,,"$4,381","$3,565","$1,880",,$816,"$1,107",,,$118,$461,,,,,,,,,,,,,,,,
CA,Napa,St. Helena,4/2/19,,"$46,540","$41,800","$4,520","$3,700","$1,040","$1,700","$16,660",,,"$2,420","$4,540","$6,960","$5,000",CA,Napa,St. Helena,,"$29,580","$26,690","$2,260","$1,490","$1,400",$800,"$14,170",,,"$1,210","$2,270","$3,480","$2,500",CA,Napa,St. Helena,,"$35,460","$30,770","$24,300","$3,670","$1,020","$1,920",,,,"$1,210","$2,270",$510,$560,CA,Napa,St. Helena,,"$15,110","$12,700","$6,230","$1,900",$510,"$1,920",,,,"$1,210","$2,270",$510,$560,CA,Napa,St. Helena,,"$13,640","$10,420","$3,950","$2,530",$690,"$1,920",,,,"$1,210","$2,270",$510,$560,,,,,,,,,,,,,
