State,County,Jurisdiction,Notes,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,,Admin Fee
DE,New Castle,New Castle Co,,,"$8,895",$731,,,"$8,164",,$328,$138,$91,$62,$112,,,DE,New Castle,New Castle Co,,"$5,792",$529,,,"$5,263",,$225,$95,$89,$43,$77,,,DE,New Castle,New Castle Co,,"$1,779",$473,,,"$1,306",,,,$345,$33,$95,,,DE,New Castle,New Castle Co,,"$1,583",$277,,,"$1,306",,,,$121,$14,$142,,,DE,New Castle,New Castle Co,,"$1,469",$163,,,"$1,306",,,,$68,$7,$88,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Broward,Broward Co,,,"$2,502","$2,502",varies,,,,$384,,,,,"$1,697",$421,FL,Broward,Broward Co,,"$1,966","$1,966",varies,,,,$275,,,,,"$1,437",$254,FL,Broward,Broward Co,,"$1,042","$1,042",varies,,,,,,,,,,"$1,042",FL,Broward,Broward Co,,$608,$608,varies,,,,,,,,,,$608,FL,Broward,Broward Co,,$329,$329,varies,,,,,,,,,,$329,,
FL,Citrus,Citrus Co,,,"$3,171","$3,171","$1,470",,,,$435,$121,$156,$150,$203,$636,,FL,Citrus,Citrus Co,,"$1,789","$1,789",$742,,,,$360,$100,$129,$112,$181,$165,,FL,Citrus,Citrus Co,,"$3,132","$3,132","$1,572",,,,,,$524,$414,$622,,,FL,Citrus,Citrus Co,,"$3,494","$3,494","$2,574",,,,,,$309,$244,$367,,,FL,Citrus,Citrus Co,,"$2,143","$2,143","$1,553",,,,,,$199,$156,$235,,,,
FL,Clay,Clay Co,,,"$2,000","$2,000",,,,,,,,,,"$2,000",,FL,Clay,Clay Co,,$920,$920,,,,,,,,,,$920,,FL,Clay,Clay Co,,,,,,,,,,,,,,,FL,Clay,Clay Co,,,,,,,,,,,,,,,FL,Clay,Clay Co,,,,,,,,,,,,,,,,
FL,Collier,Collier Co,,,"$14,310","$8,780","$4,629","$2,690","$2,840",,"$1,603",$238,$300,$118,,"$1,778",$114,FL,Collier,Collier Co,,"$9,637","$5,931","$3,429","$1,803","$1,903",,"$1,095",$214,$150,$118,,$827,$98,FL,Collier,Collier Co,,"$9,881","$8,997","$7,403",$430,$454,,,,$300,"$1,092",,,$202,FL,Collier,Collier Co,,"$8,967","$8,083","$6,401",$430,$454,,,,$300,"$1,326",,,$56,FL,Collier,Collier Co,,"$5,875","$4,991","$4,333",$430,$454,,,,$300,$312,,,$46,,
FL,Dade,Miami/Dade Co,,,"$5,173","$5,173","$1,275",,,,"$1,173",,$177,$101,,"$2,448",,FL,Dade,Miami/Dade Co,,"$3,447","$3,447",$960,,,,$669,,$187,$101,,"$1,530",,FL,Dade,Miami/Dade Co,,"$1,429","$1,429",$991,,,,,,$291,$147,,,,FL,Dade,Miami/Dade Co,,"$2,540","$2,540","$2,154",,,,,,$239,$147,,,,FL,Dade,Miami/Dade Co,,"$1,383","$1,383","$1,070",,,,,,$166,$147,,,,,
FL,Hernando,Hernando Co,,,"$4,894","$4,894","$1,845",,,,$113,$95,$112,$131,$192,"$2,406",,FL,Hernando,Hernando Co,,"$3,624","$3,624","$1,270",,,,$87,$73,$86,$101,$149,"$1,858",,FL,Hernando,Hernando Co,,"$3,395","$3,395","$2,752",,,,,,$173,$190,$280,,,FL,Hernando,Hernando Co,,"$1,637","$1,637","$1,305",,,,,,$90,$98,$144,,,FL,Hernando,Hernando Co,,"$1,101","$1,101",$935,,,,,,$45,$49,$72,,,,
FL,Hillsborough,Hillsborough Co,,,"$5,691","$2,141","$1,542","$1,650","$1,900",,$354,,$49,,,$196,,FL,Hillsborough,Hillsborough Co,,"$3,535","$1,380","$1,068",$825,"$1,330",,$230,,$49,,,$33,,FL,Hillsborough,Hillsborough Co,,"$3,942","$3,374","$3,352",$264,$304,,,,$22,,,,,FL,Hillsborough,Hillsborough Co,,"$2,502","$1,934","$1,893",$264,$304,,,,$41,,,,,FL,Hillsborough,Hillsborough Co,,"$1,571","$1,003",$994,$264,$304,,,,$9,,,,,,
FL,Hillsborough,Tampa,,,"$2,051","$2,051","$1,855",,,,,,,,,$196,,FL,Hillsborough,Tampa,,$947,$947,$914,,,,,,,,,$33,,FL,Hillsborough,Tampa,,"$3,990","$3,990","$3,990",,,,,,,,,,,FL,Hillsborough,Tampa,,"$2,739","$2,739","$2,739",,,,,,,,,,,FL,Hillsborough,Tampa,,"$1,399","$1,399","$1,399",,,,,,,,,,,,
FL,Indian River,Indian River Co,,,"$1,523","$1,523","$1,523",,,,,,,,,,,FL,Indian River,Indian River Co,,$830,$830,$830,,,,,,,,,,,FL,Indian River,Indian River Co,,"$2,170","$2,170","$2,170",,,,,,,,,,,FL,Indian River,Indian River Co,,"$1,550","$1,550","$1,550",,,,,,,,,,,FL,Indian River,Indian River Co,,$446,$446,$446,,,,,,,,,,,,
FL,Lake,Lake Co,,,"$6,461","$6,461","$2,189",,,,,,$130,,,"$4,142",,FL,Lake,Lake Co,,"$1,719","$1,719","$1,408",,,,,,$67,,,$244,,FL,Lake,Lake Co,,"$2,232","$2,232","$2,177",,,,,,$55,,,,,FL,Lake,Lake Co,,"$2,907","$2,907","$2,883",,,,,,$24,,,,,FL,Lake,Lake Co,,"$2,167","$2,167","$2,157",,,,,,$10,,,,,,
FL,Lee,Lee Co,,,"$6,274","$6,274","$2,436",,,,"$1,116",,$490,,,"$2,232",,FL,Lee,Lee Co,,"$3,460","$3,460","$1,687",,,,$826,,$256,,,$691,,FL,Lee,Lee Co,,"$4,401","$4,401","$3,869",,,,,,$532,,,,,FL,Lee,Lee Co,,"$2,490","$2,490","$1,918",,,,,,$572,,,,,FL,Lee,Lee Co,,"$1,867","$1,867","$1,681",,,,,,$186,,,,,,
FL,Lee,Cape Coral,,,"$7,415","$4,979","$1,379",$864,"$1,572",,"$1,115",,$253,,,"$2,232",,FL,Lee,Cape Coral,,"$4,960","$3,156","$1,097",$641,"$1,163",,"$1,115",,$253,,,$691,,FL,Lee,Cape Coral,,"$2,145","$1,756","$1,627",$138,$251,,,,$129,,,,,FL,Lee,Cape Coral,,"$1,707","$1,318","$1,189",$138,$251,,,,$129,,,,,FL,Lee,Cape Coral,,"$1,529","$1,140","$1,011",$138,$251,,,,$129,,,,,,
FL,Lee,Ft. Myers,,,"$9,207","$5,188","$2,436","$2,023","$1,996",,,,$520,,,"$2,232",,FL,Lee,Ft. Myers,,"$5,364","$1,945","$1,687","$1,734","$1,685",,,,$258,,,,,FL,Lee,Ft. Myers,,"$5,079","$4,404","$3,869",$347,$328,,,,$535,,,,,FL,Lee,Ft. Myers,,"$3,168","$2,493","$1,918",$347,$328,,,,$575,,,,,FL,Lee,Ft. Myers,,"$2,543","$1,868","$1,681",$347,$328,,,,$187,,,,,,
FL,Manatee,Manatee Co,,,"$5,152","$5,152","$2,121",,,,$400,,$27,$104,,"$2,500",,FL,Manatee,Manatee Co,,"$2,444","$2,444","$1,425",,,,$267,,$18,$64,,$670,,FL,Manatee,Manatee Co,,"$7,219","$7,219","$6,929",,,,,,,$290,,,,FL,Manatee,Manatee Co,,"$1,440","$1,440","$1,330",,,,,,,$110,,,,FL,Manatee,Manatee Co,,$550,$550,$520,,,,,,,$30,,,,,
FL,Marion,Marion Co,,,"$1,496","$1,496","$1,359",,,,,,$137,,,,,FL,Marion,Marion Co,,$896,$896,$781,,,,,,$115,,,,,FL,Marion,Marion Co,,"$1,890","$1,890","$1,627",,,,,,$263,,,,,FL,Marion,Marion Co,,"$1,602","$1,602","$1,502",,,,,,$100,,,,,FL,Marion,Marion Co,,$866,$866,$809,,,,,,$57,,,,,,
FL,Martin,Martin Co,,,"$5,212","$5,212","$2,150",,,,"$1,296",$280,$103,$136,$274,$973,,FL,Martin,Martin Co,,"$4,973","$4,973","$2,026",,,,"$1,247",$269,$99,$131,$263,$938,,FL,Martin,Martin Co,,"$3,467","$3,467","$3,227",,,,,,$240,,,,,FL,Martin,Martin Co,,"$2,385","$2,385","$1,850",,,,,,$70,$93,$372,,,FL,Martin,Martin Co,,"$1,281","$1,281",$972,,,,,,$41,$54,$214,,,,
FL,Orange,Orange Co.,,,"$5,126","$5,126","$2,079",,,,,,$149,$70,,"$2,828",,FL,Orange,Orange Co.,,"$3,655","$3,655","$1,439",,,,,,$127,$182,,"$1,907",,FL,Orange,Orange Co.,,"$5,493","$5,493","$5,072",,,,,,$178,$243,,,,FL,Orange,Orange Co.,,"$3,030","$3,030","$2,783",,,,,,$230,$17,,,,FL,Orange,Orange Co.,,"$1,877","$1,877","$1,742",,,,,,$43,$92,,,,,
FL,Orange,Ocoee,,,"$9,561","$5,730","$1,866",$966,"$2,865",,$500,,$364,$172,,"$2,828",,FL,Orange,Ocoee,,"$7,159","$3,968","$1,293",$805,"$2,387",,$500,,$182,$86,,"$1,907",,FL,Orange,Ocoee,,"$5,182","$3,266","$2,885",$483,"$1,433",,,,$284,$97,,,,FL,Orange,Ocoee,,"$4,221","$2,689","$2,308",$386,"$1,146",,,,$284,$97,,,,FL,Orange,Ocoee,,"$3,478","$1,946","$1,565",$386,"$1,146",,,,$284,$97,,,,,
FL,Orange,Orlando,,,"$6,903","$4,020","$1,192",,"$2,883",,,,,,,"$2,828",,FL,Orange,Orlando,,"$4,977","$2,714",$807,,"$2,263",,,,,,,"$1,907",,FL,Orange,Orlando,,"$3,231","$3,231","$3,231",,,,,,,,,,,FL,Orange,Orlando,,"$1,378","$1,378","$1,378",,,,,,,,,,,FL,Orange,Orlando,,$892,$892,$892,,,,,,,,,,,,
FL,Orange,Winter Garden,,,"$8,356","$5,011","$2,183","$1,310","$2,035",,,,,,,"$2,828",,FL,Orange,Winter Garden,,"$6,205","$3,419","$1,512","$1,091","$1,695",,,,,,,"$1,907",,FL,Orange,Winter Garden,,"$7,729","$7,060","$7,060",$262,$407,,,,,,,,,FL,Orange,Winter Garden,,"$5,088","$3,971","$3,971",$438,$680,,,,,,,,,FL,Orange,Winter Garden,,"$2,025","$1,690","$1,690",$131,$204,,,,,,,,,,
FL,Osceola,Osceola Co,,,"$6,977","$6,977","$4,149",,,,,,,,,"$2,828",,FL,Osceola,Osceola Co,,"$3,550","$3,550","$2,547",,,,,,,,,"$1,003",,FL,Osceola,Osceola Co,,"$10,140","$10,140","$10,140",,,,,,,,,,,FL,Osceola,Osceola Co,,"$5,510","$5,510","$5,510",,,,,,,,,,,FL,Osceola,Osceola Co,,"$3,622","$3,622","$3,622",,,,,,,,,,,,
FL,Palm Beach,Palm Beach Co,,,"$7,143","$7,143","$3,604",,,,"$1,350",$203,$427,$115,$184,"$1,260",,FL,Palm Beach,Palm Beach Co,,"$4,473","$4,473","$2,523",,,,$988,$148,$119,$15,$122,$558,,FL,Palm Beach,Palm Beach Co,,"$5,306","$5,306","$4,676",,,,,,$190,$226,$214,,,FL,Palm Beach,Palm Beach Co,,"$1,993","$1,993","$1,514",,,,,,$135,$226,$118,,,FL,Palm Beach,Palm Beach Co,,"$1,016","$1,016",$795,,,,,,$135,$37,$49,,,,
FL,Palm Beach,Palm Beach Gardens,,,"$9,221","$9,221","$4,631",,,,"$2,480",$203,$345,$136,$166,"$1,260",,FL,Palm Beach,Palm Beach Gardens,,"$5,961","$5,961","$3,235",,,,"$1,714",$148,$137,$47,$122,$558,,FL,Palm Beach,Palm Beach Gardens,,"$6,750","$6,750","$5,905",,,,,,$420,$211,$214,,,FL,Palm Beach,Palm Beach Gardens,,"$2,563","$2,563","$1,898",,,,,,$371,$176,$118,,,FL,Palm Beach,Palm Beach Gardens,,"$1,265","$1,265","$1,031",,,,,,$95,$90,$49,,,,
FL,Pasco,Pasco Co,,,"$4,898","$4,898","$2,167",,,,$892,$145,,,,"$1,694",,FL,Pasco,Pasco Co,,"$3,207","$3,207","$1,761",,,,$627,$97,,,,$722,,FL,Pasco,Pasco Co,,"$2,130","$2,130","$2,130",,,,,,,,,,,FL,Pasco,Pasco Co,,"$1,450","$1,450","$1,450",,,,,,,,,,,FL,Pasco,Pasco Co,,$640,$640,$640,,,,,,,,,,,,
FL,Pinellas,Pinellas Co,,,"$2,129","$1,777","$1,777",$352,,,,,,,,,,FL,Pinellas,Pinellas Co,,"$1,337","$1,161","$1,161",$176,,,,,,,,,,FL,Pinellas,Pinellas Co,,"$3,071","$2,965","$2,965",$106,,,,,,,,,,FL,Pinellas,Pinellas Co,,"$2,368","$2,262","$2,262",$106,,,,,,,,,,FL,Pinellas,Pinellas Co,,"$1,262","$1,156","$1,156",$106,,,,,,,,,,,
FL,Polk,Polk Co,,,"$2,775","$2,775",$967,,,,,,$49,$152,,"$1,607",,FL,Polk,Polk Co,,"$1,641","$1,641",$655,,,,,,$25,$129,,$832,,FL,Polk,Polk Co,,$841,$841,$841,,,,,,,,,,,FL,Polk,Polk Co,,$663,$663,$663,,,,,,,,,,,FL,Polk,Polk Co,,$182,$182,$182,,,,,,,,,,,,
FL,Polk,Lakeland,,,"$5,984","$3,974","$1,559",$910,"$1,100",,$415,,$161,$232,,"$1,607",varies,FL,Polk,Lakeland,,"$4,044","$2,309",$889,$910,$825,,$303,,$88,$197,,$832,,FL,Polk,Lakeland,,"$3,307","$3,101","$2,676",$96,$110,,,,$94,$331,,,,FL,Polk,Lakeland,,"$3,167","$2,738","$2,569",$209,$220,,,,$114,$55,,,,FL,Polk,Lakeland,,$499,$418,$326,$48,$33,,,,$74,$18,,,,,
FL,St Johns,St. Johns Co,,,"$2,630","$2,630","$1,115",,,,$467,,$91,$42,$186,$729,,FL,St Johns,St. Johns Co,,"$1,809","$1,809",$756,,,,$375,,$73,$34,$149,$422,,FL,St Johns,St. Johns Co,,"$1,951","$1,951","$1,206",,,,,,$194,$149,$402,,,FL,St Johns,St. Johns Co,,"$1,329","$1,329","$1,045",,,,,,$82,$32,$170,,,FL,St Johns,St. Johns Co,,$701,$701,$573,,,,,,$36,$17,$75,,,,
FL,St Lucie,St. Lucie Co,,,"$3,753","$3,753","$1,823",,,,$403,$161,$258,,$308,$800,,FL,St Lucie,St. Lucie Co,,"$2,846","$2,846","$1,328",,,,$359,$144,$133,,$274,$608,,FL,St Lucie,St. Lucie Co,,"$3,559","$3,559","$2,989",,,,,,$125,,$445,,,FL,St Lucie,St. Lucie Co,,"$1,571","$1,571","$1,114",,,,,,$112,,$345,,,FL,St Lucie,St. Lucie Co,,$980,$980,$807,,,,,,$94,,$79,,,,
FL,Sarasota,Sarasota Co,,,"$2,637","$2,637","$1,959",,,,$462,$216,,,,,,FL,Sarasota,Sarasota Co,,"$2,182","$2,182","$1,679",,,,$342,$161,,,,,,FL,Sarasota,Sarasota Co,,,,,,,,,,,,,,,FL,Sarasota,Sarasota Co,,,,,,,,,,,,,,,FL,Sarasota,Sarasota Co,,,,,,,,,,,,,,,,
FL,Sarasota,North Port,,,"$1,587","$1,587","$1,113",,,,$290,,$119,$65,,,,FL,Sarasota,North Port,,"$1,096","$1,096",$683,,,,$229,,$119,$65,,,,FL,Sarasota,North Port,,"$1,582","$1,582","$1,212",,,,,,$275,$95,,,,FL,Sarasota,North Port,,$910,$910,$659,,,,,,$187,$64,,,,FL,Sarasota,North Port,,$553,$553,$403,,,,,,$112,$38,,,,,
FL,Seminole,Seminole Co,,,"$2,671","$2,671","$1,061",,,,,$54,$172,,,"$1,384",,FL,Seminole,Seminole Co,,"$1,574","$1,574",$709,,,,,$54,$172,,,$639,,FL,Seminole,Seminole Co,,"$2,901","$2,901","$2,741",,,,,,$160,,,,,FL,Seminole,Seminole Co,,"$2,009","$2,009","$1,937",,,,,,$72,,,,,FL,Seminole,Seminole Co,,$795,$795,$789,,,,,,$6,,,,,,
FL,Volusia,Volusia Co,,,"$3,078","$3,078","$1,184",,,,$507,,$248,,,"$1,139",,FL,Volusia,Volusia Co,,"$3,068","$3,068","$1,174",,,,$507,,$248,,,"$1,139",,FL,Volusia,Volusia Co,,"$1,879","$1,879","$1,750",,,,,,$129,,,,,FL,Volusia,Volusia Co,,"$1,439","$1,439","$1,310",,,,,,$129,,,,,FL,Volusia,Volusia Co,,$829,$829,$700,,,,,,$129,,,,,,3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Cherokee,Canton,,,"$1,054","$1,054",,,,,"$1,054",,,,,,,GA,Cherokee,Canton,,$527,$527,,,,,$527,,,,,,,GA,Cherokee,Canton,,$173,$173,,,,,$173,,,,,,,GA,Cherokee,Canton,,$173,$173,,,,,$173,,,,,,,GA,Cherokee,Canton,,$173,$173,,,,,$173,,,,,,,,
,,,,"Single-Family (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family (2 BR; 1,000 sq. ft.; 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240-unit complex)",,,,,,,,,,,,,,,,,"Retail (per 1,000 sq. ft. based on 100,000 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office (per 1,000 sq. ft. based on 100,000 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial (per 1,000 sq. ft. based on 100,000 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,
State,County,Jurisdiction,Notes,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,,Admin Fee
GA,Cobb,Roswell,,,"$2,024","$2,024",$162,,,,"$1,303",,$560,,,,,GA,Cobb,Roswell,,"$1,793","$1,793",$110,,,,"$1,303",,$380,,,,,GA,Cobb,Roswell,,$751,$751,$426,,,,,,$326,,,,,GA,Cobb,Roswell,,$927,$927,$280,,,,,,$647,,,,,GA,Cobb,Roswell,,$627,$627,$177,,,,,,$450,,,,,,
GA,Fulton,Atlanta,,,"$1,544","$1,544",$987,$0,$0,,$410,,$114,$33,,,,GA,Fulton,Atlanta,,$857,$857,$470,,,,$285,,$79,$23,,,,GA,Fulton,Atlanta,,"$1,983","$1,983","$1,189",,,,$584,,$163,$47,,,,GA,Fulton,Atlanta,,"$1,935","$1,935","$1,608",,,,$241,,$67,$19,,,,GA,Fulton,Atlanta,,"$1,255","$1,255","$1,025",,,,$169,,$47,$14,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Ada,Boise,,,"$1,529","$1,529",$728,,,,$801,,,,,,,ID,Ada,Boise,,"$1,050","$1,050",$414,,,,$636,,,,,,,ID,Ada,Boise,,"$1,260","$1,260","$1,260",,,,,,,,,,,ID,Ada,Boise,,"$1,206","$1,206","$1,206",,,,,,,,,,,ID,Ada,Boise,,$803,$803,$803,,,,,,,,,,,,
ID,Kootenai,Post Falls,,,"$4,901","$1,025",$287,"$1,616","$2,260",,$650,,,$88,,,,ID,Kootenai,Post Falls,,"$1,608","$1,025",$287,$253,$330,,$650,,,$88,,,,ID,Kootenai,Post Falls,,"$1,659","$1,136",$874,$161,$362,,,,,$262,,,,ID,Kootenai,Post Falls,,"$1,372",$849,$616,$161,$362,,,,,$233,,,,ID,Kootenai,Post Falls,,$705,$182,$174,$161,$362,,,,,$8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,Johnson,Lenexa,,,"$1,800","$1,800","$1,800",,,,,,,,,,,KS,Johnson,Lenexa,,$653,$653,$653,,,,,,,,,,,KS,Johnson,Lenexa,,"$1,000","$1,000","$1,000",,,,,,,,,,,KS,Johnson,Lenexa,,$600,$600,$600,,,,,,,,,,,KS,Johnson,Lenexa,,"$1,000","$1,000","$1,000",,,,,,,,,,,,
KS,Johnson,Overland Park,,,"$1,750","$1,750","$1,750",,,,,,,,,,,KS,Johnson,Overland Park,,$635,$635,$635,,,,,,,,,,,KS,Johnson,Overland Park,,"$1,167","$1,167","$1,167",,,,,,,,,,,KS,Johnson,Overland Park,,$700,$700,$700,,,,,,,,,,,KS,Johnson,Overland Park,,"$1,167","$1,167","$1,167",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,E Baton Rouge,Baton Rouge,,,$864,,,,$864,,,,,,,,,LA,E Baton Rouge,Baton Rouge,,$464,,,,$464,,,,,,,,,LA,E Baton Rouge,Baton Rouge,,$244,,,,$244,,,,,,,,,LA,E Baton Rouge,Baton Rouge,,$244,,,,$244,,,,,,,,,LA,E Baton Rouge,Baton Rouge,,$244,,,,$244,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Ann Arundel,Ann Arundel Co,,,"$4,361","$4,361",$862,,,,,,,$111,,"$3,388",,MD,Ann Arundel,Ann Arundel Co,,"$2,206","$2,206",$606,,,,,,,$64,,"$1,536",,MD,Ann Arundel,Ann Arundel Co,,"$2,687","$2,687","$2,284",,,,,,,$403,,,,MD,Ann Arundel,Ann Arundel Co,,"$1,553","$1,553","$1,448",,,,,,,$105,,,,MD,Ann Arundel,Ann Arundel Co,,$419,$419,$401,,,,,,,$18,,,,,
MD,Calvert,Calvert Co,,,"$3,950","$3,950",,,,,$600,,,,,"$3,000",$350,MD,Calvert,Calvert Co,,"$1,000","$1,000",,,,,,,,,,"$1,000",,MD,Calvert,Calvert Co,,$110,$110,,,,,,,,,,,$110,MD,Calvert,Calvert Co,,$110,$110,,,,,,,,,,,$110,MD,Calvert,Calvert Co,,$110,$110,,,,,,,,,,,$110,,
MD,Carroll,Carroll Co,,,"$4,744","$4,744",,,,,$547,,,,,"$4,197",,MD,Carroll,Carroll Co,,"$1,925","$1,925",,,,,$382,,,,,"$1,543",,MD,Carroll,Carroll Co,,,,,,,,,,,,,,,MD,Carroll,Carroll Co,,,,,,,,,,,,,,,MD,Carroll,Carroll Co,,,,,,,,,,,,,,,,
MD,Charles,Charles Co,,,"$9,700","$9,700",,,,,,,,,,"$9,700",,MD,Charles,Charles Co,,"$7,000","$7,000",,,,,,,,,,"$7,000",,MD,Charles,Charles Co,,,,,,,,,,,,,,,MD,Charles,Charles Co,,,,,,,,,,,,,,,MD,Charles,Charles Co,,,,,,,,,,,,,,,,
MD,Dorchester,Cambridge,,,"$4,500",$200,,"$1,500","$2,800",,$200,,,,,,,MD,Dorchester,Cambridge,,$0,$0,,,,,,,,,,,,MD,Dorchester,Cambridge,,,,,,,,,,,,,,,MD,Dorchester,Cambridge,,,,,,,,,,,,,,,MD,Dorchester,Cambridge,,,,,,,,,,,,,,,,
MD,Frederick,Frederick Co,,,"$17,801","$7,501",$220,"$4,300","$6,000",,,$414,,,,"$6,867",,MD,Frederick,Frederick Co,,"$6,224","$1,589",$30,"$1,935","$2,700",,,$274,,,,"$1,285",,MD,Frederick,Frederick Co,,"$2,975",$750,$750,$929,"$1,296",,,,,,,,,MD,Frederick,Frederick Co,,"$1,739",$750,$750,$413,$576,,,,,,,,,MD,Frederick,Frederick Co,,"$1,739",$750,$750,$413,$576,,,,,,,,,,
MD,Howard,Howard Co,,,"$1,600","$1,600","$1,600",,,,,,,,,,,MD,Howard,Howard Co,,$800,$800,$800,,,,,,,,,,,MD,Howard,Howard Co,,$800,$800,$800,,,,,,,,,,,MD,Howard,Howard Co,,$800,$800,$800,,,,,,,,,,,MD,Howard,Howard Co,,$400,$400,$400,,,,,,,,,,,,
MD,Montgomery,Montgomery Co,,,"$5,322","$2,268","$2,268","$1,344","$1,710",,,,,,,,,MD,Montgomery,Montgomery Co,,"$3,566","$1,530","$1,530",$896,"$1,140",,,,,,,,,MD,Montgomery,Montgomery Co,,"$4,740","$3,928","$3,928",$352,$460,,,,,,,,,MD,Montgomery,Montgomery Co,,"$2,687","$1,875","$1,875",$352,$460,,,,,,,,,MD,Montgomery,Montgomery Co,,"$1,812","$1,000","$1,000",$352,$460,,,,,,,,,,
MD,Prince George's,Prince George's Co,,,"$15,054","$12,000",,"$1,344","$1,710",,,,,,,"$12,000",,MD,Prince George's,Prince George's Co,,"$14,036","$12,000",,$896,"$1,140",,,,,,,"$12,000",,MD,Prince George's,Prince George's Co,,$812,,,$352,$460,,,,,,,,,MD,Prince George's,Prince George's Co,,$812,,,$352,$460,,,,,,,,,MD,Prince George's,Prince George's Co,,$812,,,$352,$460,,,,,,,,,,
MD,Queen Anne's,Queen Anne's Co,,,"$5,744","$5,744",,,,,,,"$1,014",,,"$4,730",,MD,Queen Anne's,Queen Anne's Co,,"$3,397","$3,397",,,,,,,$828,,,"$2,569",,MD,Queen Anne's,Queen Anne's Co,,$480,$480,,,,,,,$480,,,,,MD,Queen Anne's,Queen Anne's Co,,$680,$680,,,,,,,$680,,,,,MD,Queen Anne's,Queen Anne's Co,,$440,$440,,,,,,,$440,,,,,,
MD,St. Mary's,St. Mary's Co,,,"$4,500","$4,500",$450,,,,$675,,,,,"$3,375",,MD,St. Mary's,St. Mary's Co,,"$4,500","$4,500",$450,,,,$675,,,,,"$3,375",,MD,St. Mary's,St. Mary's Co,,,,,,,,,,,,,,,MD,St. Mary's,St. Mary's Co,,,,,,,,,,,,,,,MD,St. Mary's,St. Mary's Co,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,Clay/Jackson,Kansas City,,,$711,$711,$711,,,,,,,,,,,MO,Clay/Jackson,Kansas City,,$435,$435,$435,,,,,,,,,,,MO,Clay/Jackson,Kansas City,,"$1,458","$1,458","$1,458",,,,,,,,,,,MO,Clay/Jackson,Kansas City,,"$1,049","$1,049","$1,049",,,,,,,,,,,MO,Clay/Jackson,Kansas City,,$647,$647,$647,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
