,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,000 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,000 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,000 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,
AZ,Mariciopa,Scottsdale,3/16/06,,"$7,630",$906,,"$3,771","$2,953",$906,,,,,,,,AZ,Mariciopa,Scottsdale,,"$4,930",$302,,"$2,163","$2,465",$302,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,630",$555,,$603,$472,$555,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,408",$333,,$603,$472,$333,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,630",$555,,$603,$472,$555,,,,,,,,
AZ,Maricopa,Surprise ,3/16/06,,"$9,050","$3,470",$885,"$3,335","$2,245",,"$1,127",$266,$454,$424,$314,,,AZ,Maricopa,Surprise ,,"$3,368","$2,613",$437,$513,$241,,$948,$224,$382,$357,$265,,,AZ,Maricopa,Surprise ,,"$4,046","$3,457",$512,$356,$234,,,,"$1,053","$1,659",$233,,,AZ,Maricopa,Surprise ,,"$3,670","$3,081",$687,$356,$234,,,,"$1,505",$556,$333,,,AZ,Maricopa,Surprise ,,"$2,543","$1,954",$474,$356,$234,,,,$973,$292,$215,,,
AZ,Maricopa,Tempe,3/16/06,,"$2,824",,,"$1,266","$1,558",,,,,,,,,AZ,Maricopa,Tempe,,"$2,854",,,"$1,266","$1,588",,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,
AZ,Mojave,Bullhead City,6/21/06,,$711,,,$711,,,,,,,,,,AZ,Mojave,Bullhead City,,$588,$588,,$588,,,,,,,,,,AZ,Mojave,Bullhead City,,"$1,801",,,"$1,801",,,,,,,,,,AZ,Mojave,Bullhead City,,"$1,801",,,"$1,801",,,,,,,,,,AZ,Mojave,Bullhead City,,"$1,801",,,"$1,801",,,,,,,,,,
AZ,Navajo,Show Low,3/16/06,,"$3,640",$630,,$696,"$2,314",,$476,$154,,,,,,AZ,Navajo,Show Low,,"$2,484",$499,,$153,"$1,832",,$377,$122,,,,,,AZ,Navajo,Show Low,,$459,,,$106,$353,,,,,,,,,AZ,Navajo,Show Low,,$459,,,$106,$353,,,,,,,,,AZ,Navajo,Show Low,,$459,,,$106,$353,,,,,,,,,
AZ,Pima,Pima County,3/16/06,,"$6,497","$5,081","$3,581","$1,416",,,"$1,500",,,,,,,AZ,Pima,Pima County,,"$4,421","$4,185","$2,685",$236,,,"$1,500",,,,,,,AZ,Pima,Pima County,,"$2,424","$2,197","$2,197",$227,,,,,,,,,,AZ,Pima,Pima County,,"$1,526","$1,299","$1,299",$227,,,,,,,,,,AZ,Pima,Pima County,,"$1,873","$1,646","$1,646",$227,,,,,,,,,,
AZ,Pima,Marana,6/27/06,,"$9,026","$7,610","$4,582","$1,416",,,"$3,028",,,,,,,AZ,Pima,Marana,,"$6,471","$6,235","$3,207",$236,,,"$3,028",,,,,,,AZ,Pima,Marana,,$227,,,$227,,,,,,,,,,AZ,Pima,Marana,,$227,,,$227,,,,,,,,,,AZ,Pima,Marana,,$227,,,$227,,,,,,,,,,
AZ,Pima,Oro Valley,6/29/06,,"$4,814","$3,040","$3,040","$1,774",,,,,,,,,,AZ,Pima,Oro Valley,,"$2,576","$2,280","$2,280",$296,,,,,,,,,,AZ,Pima,Oro Valley,,$698,,,$698,,,,,,,,,,AZ,Pima,Oro Valley,,$698,,,$698,,,,,,,,,,AZ,Pima,Oro Valley,,$698,,,$698,,,,,,,,,,
AZ,Pima,Tucson,7/10/06,,"$6,556","$5,140","$3,540","$1,416",,,"$1,600",,,,,,,AZ,Pima,Tucson,,"$3,295","$3,059","$2,259",$236,,,$800,,,,,,,AZ,Pima,Tucson,,"$3,745",,"$3,519",$227,,,,,,,,,,AZ,Pima,Tucson,,"$4,407",,"$4,181",$227,,,,,,,,,,AZ,Pima,Tucson,,"$2,031",,"$1,805",$227,,,,,,,,,,
AZ,Pinal,Apache Junction,3/16/06,,"$6,330","$3,409","$2,367",$921,"$2,000",,$564,$262,,$133,$83,,,AZ,Pinal,Apache Junction,,"$2,822","$2,663","$1,661",$107,$52,,$542,$252,,$128,$80,,,AZ,Pinal,Apache Junction,,"$7,152","$6,685","$6,157",$147,$320,,,,,$325,$203,,,AZ,Pinal,Apache Junction,,"$3,558","$3,091","$2,724",$147,$320,,,,,$226,$141,,,AZ,Pinal,Apache Junction,,"$1,804","$1,337","$1,082",$147,$320,,,,,$157,$98,,,
