State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,
AZ,Pima,Marana,1/6/05,,"$9,851","$8,435","$8,435","$1,416",,,,,,,,,,AZ,Pima,Marana,,"$5,156","$4,826","$4,826",$330,,,,,,,,,,AZ,Pima,Marana,,"$3,227","$3,000","$3,000",$227,,,,,,,,,,AZ,Pima,Marana,,"$3,227",,"$3,000",$227,,,,,,,,,,AZ,Pima,Marana,,"$3,227",,"$3,000",$227,,,,,,,,,,
AZ,Pima,Oro Valley,1/6/05,,"$5,114","$3,040","$3,040","$2,074",,,,,,,,,,AZ,Pima,Oro Valley,,"$3,298","$2,280","$2,280","$1,018",,,,,,,,,,AZ,Pima,Oro Valley,,$698,,,$698,,,,,,,,,,AZ,Pima,Oro Valley,,$653,,,$653,,,,,,,,,,AZ,Pima,Oro Valley,,$653,,,$653,,,,,,,,,,
AZ,Pima,Tucson,1/6/05,,"$1,416",,,"$1,416",,,,,,,,,,AZ,Pima,Tucson,,$330,,,$330,,,,,,,,,,AZ,Pima,Tucson,,$227,,,$227,,,,,,,,,,AZ,Pima,Tucson,,$227,,,$227,,,,,,,,,,AZ,Pima,Tucson,,$227,,,$227,,,,,,,,,,
AZ,Pinal,Apache Junction,1/30/05,,"$5,448","$2,527","$1,485",$921,"$2,000",,$564,$262,,$133,$83,,,AZ,Pinal,Apache Junction,,"$2,190","$2,031","$1,029",$107,$52,,$542,$252,,$128,$80,,,AZ,Pinal,Apache Junction,,"$4,854","$4,387","$3,859",$147,$320,,,,,$325,$203,,,AZ,Pinal,Apache Junction,,"$2,543","$2,076","$1,709",$147,$320,,,,,$226,$141,,,AZ,Pinal,Apache Junction,,"$1,804","$1,337","$1,082",$147,$320,,,,,$157,$98,,,
AZ,Pinal,Casa Grande,1/11/05,,"$4,249","$1,881",$101,,"$2,368",,$721,$217,$344,$244,$254,,,AZ,Pinal,Casa Grande,,"$1,589","$1,332",$70,,$257,,$512,$153,$243,$175,$179,,,AZ,Pinal,Casa Grande,,"$1,596","$1,103",$387,,$493,,,,$173,$349,$194,,,AZ,Pinal,Casa Grande,,"$1,261",$768,$129,,$493,,,,$244,$117,$278,,,AZ,Pinal,Casa Grande,,$959,$466,$68,,$493,,,,$159,$60,$179,,,
AZ,Pinal,Eloy,1/30/05,,"$2,008",,,"$1,000","$1,008",,,,,,,,,AZ,Pinal,Eloy,,$401,,,$233,$168,,,,,,,,,AZ,Pinal,Eloy,,$321,,,$160,$161,,,,,,,,,AZ,Pinal,Eloy,,$321,,,$160,$161,,,,,,,,,AZ,Pinal,Eloy,,$321,,,$160,$161,,,,,,,,,
AZ,Pinal,Florence,1/11/05,,"$2,400",,,"$1,500",$900,,,,,,,,,AZ,Pinal,Florence,,"$1,970",,,"$1,230",$740,,,,,,,,,AZ,Pinal,Florence,,$455,,,$252,$203,,,,,,,,,AZ,Pinal,Florence,,$455,,,$252,$203,,,,,,,,,AZ,Pinal,Florence,,$455,,,$252,$203,,,,,,,,,
AZ,Pinal,Queen Creek,1/11/05,,"$9,881","$5,515",$166,,"$4,366",,"$3,814",$656,,$279,$600,,,AZ,Pinal,Queen Creek,,"$4,298","$3,818",$109,,$480,,"$2,504",$431,,$183,$591,,,AZ,Pinal,Queen Creek,,"$2,001","$1,535","$1,024",,$466,,,,,$69,$442,,,AZ,Pinal,Queen Creek,,"$1,431",$965,$312,,$466,,,,,$21,$632,,,AZ,Pinal,Queen Creek,,"$1,063",$597,$176,,$466,,,,,$12,$409,,,
AZ,Yavapai,Yavapai County,1/11/05,,"$1,150","$1,150","$1,150",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$1,150","$1,150","$1,150",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,
AZ,Yavapai,Chino Valley,1/30/05,,"$3,835","$3,835","$2,519",,,,$455,$122,$358,$252,$129,,,AZ,Yavapai,Chino Valley,,"$2,663","$2,663","$1,347",,,,$455,$122,$358,$252,$129,,,AZ,Yavapai,Chino Valley,,"$1,180","$1,180",$800,,,,,,$180,$130,$70,,,AZ,Yavapai,Chino Valley,,"$1,180","$1,180",$800,,,,,,$180,$130,$70,,,AZ,Yavapai,Chino Valley,,"$2,670","$2,670","$2,290",,,,,,$180,$130,$70,,,
