State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other
AZ,Pima,Pima County,9/12/09,,"$11,644","$6,531","$4,934",,"$5,113",,"$1,597",,,,,,,AZ,Pima,Pima County,,"$6,053","$5,201","$3,701",,$852,,"$1,500",,,,,,,AZ,Pima,Pima County,,"$2,826","$2,008","$2,008",,$818,,,,,,,,,AZ,Pima,Pima County,,"$2,451","$1,633","$1,633",,$818,,,,,,,,,AZ,Pima,Pima County,,"$2,894","$2,076","$2,076",,$818,,,,,,,,
AZ,Pima,Marana,9/12/09,,"$12,963","$10,632","$7,236","$2,331",,,"$3,396",,,,,,,AZ,Pima,Marana,,"$8,518","$7,974","$5,427",$544,,,"$2,547",,,,,,,AZ,Pima,Marana,,$347,,,$347,,,,,,,,,,AZ,Pima,Marana,,$347,,,$347,,,,,,,,,,AZ,Pima,Marana,,$347,,,$347,,,,,,,,,
AZ,Pima,Oro Valley,9/14/09,,"$13,752","$6,203","$1,908","$7,549",,,"$2,699",$694,,$513,$389,,,AZ,Pima,Oro Valley,,"$31,252","$3,871","$1,314","$27,381",,,"$1,607",$413,,$305,$232,,,AZ,Pima,Oro Valley,,"$5,370","$3,654","$3,392","$1,716",,,,,,$123,$139,,,AZ,Pima,Oro Valley,,"$3,081","$1,365","$1,109","$1,716",,,,,,$37,$219,,,AZ,Pima,Oro Valley,,"$2,563",$847,$680,"$1,716",,,,,,$22,$145,,
AZ,Pima,Tucson,9/12/09,,"$9,260","$7,683","$4,300","$1,577",,,"$1,720",,$488,$674,$501,,,AZ,Pima,Tucson,,"$4,608","$4,240","$2,150",$368,,,$860,,$360,$499,$371,,,AZ,Pima,Tucson,,"$5,761","$5,509","$4,282",$252,,,,,$269,$699,$259,,,AZ,Pima,Tucson,,"$6,566","$6,314","$5,087",$252,,,,,$269,$699,$259,,,AZ,Pima,Tucson,,"$3,675","$3,423","$2,196",$252,,,,,$269,$699,$259,,
AZ,Pinal,Apache Junction,9/12/09,,"$12,429","$9,508","$6,323",$921,"$2,000",,"$1,801",$721,,$294,$369,,,AZ,Pinal,Apache Junction,,"$7,349","$7,190","$4,440",$107,$52,,"$1,555",$622,,$254,$319,,,AZ,Pinal,Apache Junction,,"$15,537","$15,070","$13,220",$147,$320,,,,,"$1,740",$110,,,AZ,Pinal,Apache Junction,,"$5,477","$5,010","$4,330",$147,$320,,,,,$520,$160,,,AZ,Pinal,Apache Junction,,"$3,097","$2,630","$2,260",$147,$320,,,,,$270,$100,,
AZ,Pinal,Casa Grande,9/12/09,,"$12,469","$8,353","$3,356",,"$4,116",,,,$663,$339,$834,,"$3,161",AZ,Pinal,Casa Grande,,"$6,206","$5,764","$2,311",,$442,,,,$426,$228,$561,,"$2,238",AZ,Pinal,Casa Grande,,"$9,893","$9,465","$6,877",,$428,,,,$488,$431,$654,,"$1,015",AZ,Pinal,Casa Grande,,"$5,440","$5,012","$2,239",,$428,,,,$696,$128,$934,,"$1,015",AZ,Pinal,Casa Grande,,"$3,939","$3,511","$1,373",,$428,,,,$451,$67,$605,,"$1,015"
AZ,Pinal,Eloy,9/12/09,,"$4,756","$1,897",,"$1,579","$1,280",,$527,$148,,$351,$871,,,AZ,Pinal,Eloy,,"$1,732","$1,372",,$232,$128,,$381,$107,,$254,$630,,,AZ,Pinal,Eloy,,"$1,266",$949,,$179,$138,,,,,$366,$583,,,AZ,Pinal,Eloy,,"$1,220",$903,,$179,$138,,,,,$121,$782,,,AZ,Pinal,Eloy,,$931,$614,,$179,$138,,,,,$75,$539,,
AZ,Pinal,Florence,9/14/09,,"$12,305","$4,870",$583,"$3,330","$4,105",,$857,$407,"$1,119",$934,$846,,$124,AZ,Pinal,Florence,,"$4,745","$3,527",$410,$648,$570,,$617,$293,$804,$672,$607,,$124,AZ,Pinal,Florence,,"$5,147","$4,354","$2,618",$356,$438,,$167,$60,$644,$175,$159,,$531,AZ,Pinal,Florence,,"$5,147","$4,354","$2,618",$356,$438,,$167,$60,$644,$175,$159,,$531,AZ,Pinal,Florence,,"$2,438","$1,645",$425,$356,$438,,$92,$34,$371,$101,$91,,$531
AZ,Pinal,Queen Creek,9/14/09,,"$15,981","$10,974",$727,,"$5,007",,"$5,719","$1,370",$693,$704,"$1,761",,,AZ,Pinal,Queen Creek,,"$7,736","$7,191",$478,,$545,,"$3,762",$901,$456,$436,"$1,158",,,AZ,Pinal,Queen Creek,,"$6,249","$5,721","$3,529",,$528,,,,$869,$180,"$1,143",,,AZ,Pinal,Queen Creek,,"$3,659","$3,131","$1,084",,$528,,,,$267,$55,"$1,725",,,AZ,Pinal,Queen Creek,,"$2,716","$2,188",$770,,$528,,,,$190,$39,"$1,189",,
AZ,Yavapai,Yavapai County,9/5/08,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,
